Code,Seat,County,Population,Land area (km2),Density (people/km2),Municipality,Average_age,Latitude,Longitude,pharmacy_count
1440,Nödinge-Nol,Västra Götaland County,27947,316.51,88.30,Ale,39.4,57.9068771,12.0601607,3
1489,Alingsås,Västra Götaland County,38553,472.03,81.67,Alingsas,42.2,57.9299658,12.5329678,3
764,Alvesta,Kronoberg County,19219,974.19,19.73,Alvesta,41.8,56.8483677,14.4408337460465,1
604,Aneby,Jönköping County,6360,517.76,12.28,Aneby,42.5,57.85812195,14.8178132360309,1
1984,Arboga,Västmanland County,13437,325.43,41.29,Arboga,44.6,59.394187,15.8396643,1
2506,Arjeplog,Norrbotten County,2996,12556.77,0.24,Arjeplog,47.2,66.38071505,17.1068454362123,0
2505,Arvidsjaur,Norrbotten County,6454,5655.97,1.14,Arvidsjaur,45.7,65.65659605,19.2192529531447,0
1784,Arvika,Värmland County,25835,1649.06,15.67,Arvika,44.8,59.76060895,12.6477957430625,1
1882,Askersund,Örebro County,10993,815.99,13.47,Askersund,46.3,"58.83609425
",14.92605060685007,0
2084,Avesta,Dalarna County,21549,613.25,35.14,Avesta,44.0,"60.224834349999995
",16.375592172090236,0
1460,Bengtsfors,Västra Götaland County,9532,882.93,10.80,Bengtsfors,46.6,"59.0070834
",12.260929214557784,0
2326,Svenstavik,Jämtland County,7180,5711.34,1.26,Berg,46.3,62.766806,14.4324223,0
2403,Bjurholm,Västerbotten County,2442,1306.75,1.87,Bjurholm,46.5,63.96418325,18.9786875797066,0
1260,Bjuv,Skåne County,14813,115.28,128.50,Bjuv,40.4,56.0478255,12.967063468405,3
2582,Boden,Norrbotten County,27762,4007.86,6.93,Boden,44.3,66.04794225,21.1816454779263,0
1443,Bollebygd,Västra Götaland County,8569,263.19,32.56,Bollebygd,41.6,57.744516,12.5807436723468,1
2183,Bollnäs,Gävleborg County,26130,1814.35,14.40,Bollnas,44.3,61.31830325,16.3967939462856,1
885,Borgholm,Kalmar County,10634,678.65,15.67,Borgholm,50.5,57.06651655,17.063002077579,1
2081,Borlänge,Dalarna County,49825,583.87,85.34,Borlange,40.7,60.4856426,60.4856426,3
1490,Borås,Västra Götaland County,105748,909.90,116.22,Boras,40.7,57.7210839,12.9407407,9
127,Tumba,Stockholm County,87386,194.17,450.05,Botkyrka,37.7,59.1996086,17.8363075,31
560,Boxholm,Östergötland County,5256,525.77,10.00,Boxholm,45.1,58.1308226,15.1291326163106,0
1272,Bromölla,Skåne County,12331,162.50,75.88,Bromolla,43.5,56.1108794,14.5201307372084,1
2305,Bräcke,Jämtland County,6630,3408.20,1.95,Bracke,46.9,62.83507915,15.6409696580857,0
1231,Arlöv,Skåne County,17158,18.90,907.83,Burlov,39.3,55.6378013,13.0777501,50
1278,Båstad,Skåne County,14245,209.79,67.90,Bastad,47.6,56.4267895,12.8607151,1
1438,Ed,Västra Götaland County,4758,724.34,6.57,Dals-Ed,45.0,63.29150025,17.2963161126616,0
162,Danderyd (Djursholm),Stockholm County,32074,26.40,1214.92,Danderyd,41.3,59.4018072,18.0619226374915,50
1862,Degerfors,Örebro County,9490,383.98,24.71,Degerfors,46.0,59.1501895,14.4309359611704,1
2425,Dorotea,Västerbotten County,2769,2764.92,1.00,Dorotea,48.5,64.46567965,16.0733648294657,0
1730,Charlottenberg,Värmland County,8443,820.18,10.29,Eda,44.3,59.8839607,12.3049207,1
125,Ekerö,Stockholm County,26282,217.68,120.74,Ekero,39.8,59.3567567,17.6078004544372,1
686,Eksjö,Jönköping County,16454,799.48,20.58,Eksjo,43.7,57.62269775,15.2124134893196,0
862,Emmaboda,Kalmar County,8969,689.70,13.00,Emmaboda,45.6,56.63987585,15.5452908427133,0
381,Enköping,Uppsala County,40542,1178.50,34.40,Enkoping,41.6,59.6356115,17.077856,4
484,Eskilstuna,Södermanland County,99745,1099.87,90.69,Eskilstuna,40.8,59.3717379,16.5051474,7
1285,Eslöv,Skåne County,31793,419.06,75.87,Eslov,40.6,55.8477888,13.2976187050862,3
1445,Nossebro,Västra Götaland County,5529,234.61,23.57,Essunga,44.4,58.1883968,12.7192098,1
1982,Fagersta,Västmanland County,12831,269.04,47.69,Fagersta,43.1,59.9542146,15.8885935650253,2
1382,Falkenberg,Halland County,41646,1108.89,37.56,Falkenberg,43.4,56.989525,12.5789135028422,4
1499,Falköping,Västra Götaland County,31923,1044.98,30.55,Falkoping,42.0,58.16469345,13.493855942801,1
2080,Falun,Dalarna County,56763,2040.13,27.82,Falun,42.2,60.6070068,15.6323059,5
1782,Filipstad,Värmland County,10524,1534.03,6.86,Filipstad,45.4,59.902858,14.1647921679592,0
562,Finspång,Östergötland County,20890,1055.28,19.80,Finspang,43.9,58.811357,15.7594909379337,0
482,Flen,Södermanland County,16068,718.83,22.35,Flen,45.1,59.05586985,16.7526816560264,0
1763,Forshaga,Värmland County,11267,348.18,32.36,Forshaga,42.7,59.64632515,13.4824294671194,1
1439,Färgelanda,Västra Götaland County,6545,588.98,11.11,Fargelanda,44.5,58.6135368,12.0058822484431,0
2026,Djurås,Dalarna County,10052,767.15,13.10,Gagnef,43.7,60.560541,15.1303132,1
662,Gislaved,Jönköping County,28750,1137.08,25.28,Gislaved,41.8,57.29307215,13.4922298881158,2
461,Gnesta,Södermanland County,10450,461.24,22.66,Gnesta,42.8,59.06051195,17.1520727869084,1
617,Gnosjö,Jönköping County,9390,420.58,22.33,Gnosjo,41.7,57.35858025,13.7816919916758,0
980,Visby,Gotland County,57235,3134.05,18.26,Gotland,44.9,57.6379361,18.297982,7
1764,Grums,Värmland County,8918,386.38,23.08,Grums,44.9,59.4009495,13.0373265885825,2
1444,Grästorp,Västra Götaland County,5613,264.68,21.21,Grastorp,45.1,58.32736405,12.6328178768945,1
1447,Gullspång and Hova,Västra Götaland County,5194,312.89,16.60,Gullspang,48.3,58.9227325,14.1330259167624,0
2523,Gällivare,Norrbotten County,18380,15705.15,1.17,Gallivare,45.2,67.19660955,20.5791009091659,1
2180,Gävle,Gävleborg County,96969,1613.37,60.10,Gavle,41.6,60.6750132,17.1467019,9
1480,Gothenburg,Västra Götaland County,567337,447.76,1188.69,Goteborg,39.0,57.7072326,11.9670171,50
1471,Götene,Västra Götaland County,13054,404.54,32.27,Gotene,44.6,58.5944183,13.429570630355,0
643,Habo,Jönköping County,10969,328.52,33.39,Habo,38.4,57.9752626,14.064612727517,0
1783,Hagfors,Värmland County,12117,1824.17,6.64,Hagfors,48.3,60.0879941,13.6478456970816,0
1861,Hallsberg,Örebro County,15265,636.71,23.97,Hallsberg,42.6,58.9931311,15.3277300968136,0
