Municipality_code,Municipality,Average_age
114, Upplands Vasby,39.3
115, Vallentuna,39.0
117, Osteraker,40.6
120, Varmdo,39.9
123, Jarfalla,39.1
125, Ekero,39.8
126, Huddinge,37.6
127, Botkyrka,37.7
128, Salem,39.2
136, Haninge,38.2
138, Tyreso,39.8
139, Upplands-Bro,38.2
140, Nykvarn,39.5
160, Taby,40.9
162, Danderyd,41.3
163, Sollentuna,39.1
180, Stockholm,39.2
181, Sodertalje,39.4
182, Nacka,39.1
183, Sundbyberg,37.5
184, Solna,39.2
186, Lidingo,41.4
187, Vaxholm,42.1
188, Norrtalje,45.4
191, Sigtuna,38.1
192, Nynashamn,42.7
305, Habo,39.9
319, alvkarleby,43.9
330, Knivsta,36.7
331, Heby,43.9
360, Tierp,43.5
380, Uppsala,38.9
381, Enkoping,41.6
382, Osthammar,45.3
428, Vingaker,44.4
461, Gnesta,42.8
480, Nykoping,43.1
481, Oxelosund,45.2
482, Flen,45.1
483, Katrineholm,42.3
484, Eskilstuna,40.8
486, Strangnas,42.6
488, Trosa,43.4
509, Odeshog,45.1
512, Ydre,46.8
513, Kinda,45.1
560, Boxholm,45.1
561, Atvidaberg,45.0
562, Finspang,43.9
563, Valdemarsvik,47.5
580, Linkoping,39.4
581, Norrkoping,40.7
582, Soderkoping,43.9
583, Motala,43.3
584, Vadstena,48.4
586, Mjolby,41.9
604, Aneby,42.5
617, Gnosjo,41.7
642, Mullsjo,42.8
643, Habo,38.4
662, Gislaved,41.8
665, Vaggeryd,40.9
680, Jonkoping,40.3
682, Nassjo,41.6
683, Varnamo,42.4
684, Savsjo,42.4
685, Vetlanda,43.4
686, Eksjo,43.7
687, Tranas,43.2
760, Uppvidinge,43.4
761, Lessebo,42.0
763, Tingsryd,46.1
764, Alvesta,41.8
765, Almhult,40.9
767, Markaryd,43.7
780, Vaxjo,39.8
781, Ljungby,43.7
821, Hogsby,44.6
834, Torsas,46.3
840, Morbylanga,44.8
860, Hultsfred,45.2
861, Monsteras,44.6
862, Emmaboda,45.6
880, Kalmar,41.1
881, Nybro,44.1
882, Oskarshamn,43.6
883, Vastervik,46.3
884, Vimmerby,44.2
885, Borgholm,50.5
980, Gotland,44.9
1060, Olofstrom,45.1
1080, Karlskrona,42.1
1081, Ronneby,43.5
1082, Karlshamn,44.1
1083, Solvesborg,45.1
1214, Svalov,40.2
1230, Staffanstorp,39.6
1231, Burlov,39.3
1233, Vellinge,42.9
1256, Ostra Goinge,41.8
1257, Orkelljunga,43.8
1260, Bjuv,40.4
1261, Kavlinge,40.2
1262, Lomma,41.2
1263, Svedala,39.3
1264, Skurup,41.9
1265, Sjobo,43.8
1266, Horby,43.0
1267, Hoor,42.2
1270, Tomelilla,44.1
1272, Bromolla,43.5
1273, Osby,43.9
1275, Perstorp,41.9
1276, Klippan,42.8
1277, Astorp,39.7
1278, Bastad,47.6
1280, Malmo,38.4
1281, Lund,38.8
1282, Landskrona,41.3
1283, Helsingborg,40.7
1284, Hoganas,45.0
1285, Eslov,40.6
1286, Ystad,45.8
1287, Trelleborg,42.5
1290, Kristianstad,42.1
