Municipality_code,Municipality,Average_age
114, Upplands Väsby,39.3
115, Vallentuna,39.0
117, Österåker,40.6
120, Värmdö,39.9
123, Järfälla,39.1
125, Ekerö,39.8
126, Huddinge,37.6
127, Botkyrka,37.7
128, Salem,39.2
136, Haninge,38.2
138, Tyresö,39.8
139, Upplands-Bro,38.2
140, Nykvarn,39.5
160, Täby,40.9
162, Danderyd,41.3
163, Sollentuna,39.1
180, Stockholm,39.2
181, Södertälje,39.4
182, Nacka,39.1
183, Sundbyberg,37.5
184, Solna,39.2
186, Lidingö,41.4
187, Vaxholm,42.1
188, Norrtälje,45.4
191, Sigtuna,38.1
192, Nynäshamn,42.7
305, Håbo,39.9
319, Älvkarleby,43.9
330, Knivsta,36.7
331, Heby,43.9
360, Tierp,43.5
380, Uppsala,38.9
381, Enköping,41.6
382, Östhammar,45.3
428, Vingåker,44.4
461, Gnesta,42.8
480, Nyköping,43.1
481, Oxelösund,45.2
482, Flen,45.1
483, Katrineholm,42.3
484, Eskilstuna,40.8
486, Strängnäs,42.6
488, Trosa,43.4
509, Ödeshög,45.1
512, Ydre,46.8
513, Kinda,45.1
560, Boxholm,45.1
561, Åtvidaberg,45.0
562, Finspång,43.9
563, Valdemarsvik,47.5
580, Linköping,39.4
581, Norrköping,40.7
582, Söderköping,43.9
583, Motala,43.3
584, Vadstena,48.4
586, Mjölby,41.9
604, Aneby,42.5
617, Gnosjö,41.7
642, Mullsjö,42.8
643, Habo,38.4
662, Gislaved,41.8
665, Vaggeryd,40.9
680, Jönköping,40.3
682, Nässjö,41.6
683, Värnamo,42.4
684, Sävsjö,42.4
685, Vetlanda,43.4
686, Eksjö,43.7
687, Tranås,43.2
760, Uppvidinge,43.4
761, Lessebo,42.0
763, Tingsryd,46.1
764, Alvesta,41.8
765, Älmhult,40.9
767, Markaryd,43.7
780, Växjö,39.8
781, Ljungby,43.7
821, Högsby,44.6
834, Torsås,46.3
840, Mörbylånga,44.8
860, Hultsfred,45.2
861, Mönsterås,44.6
862, Emmaboda,45.6
880, Kalmar,41.1
881, Nybro,44.1
882, Oskarshamn,43.6
883, Västervik,46.3
884, Vimmerby,44.2
885, Borgholm,50.5
980, Gotland,44.9
1060, Olofström,45.1
1080, Karlskrona,42.1
1081, Ronneby,43.5
1082, Karlshamn,44.1
1083, Sölvesborg,45.1
1214, Svalöv,40.2
1230, Staffanstorp,39.6
1231, Burlöv,39.3
1233, Vellinge,42.9
1256, Östra Göinge,41.8
1257, Örkelljunga,43.8
1260, Bjuv,40.4
1261, Kävlinge,40.2
1262, Lomma,41.2
1263, Svedala,39.3
1264, Skurup,41.9
1265, Sjöbo,43.8
1266, Hörby,43.0
1267, Höör,42.2
1270, Tomelilla,44.1
1272, Bromölla,43.5
1273, Osby,43.9
1275, Perstorp,41.9
1276, Klippan,42.8
1277, Åstorp,39.7
1278, Båstad,47.6
1280, Malmö,38.4
1281, Lund,38.8
1282, Landskrona,41.3
1283, Helsingborg,40.7
1284, Höganäs,45.0
1285, Eslöv,40.6
1286, Ystad,45.8
1287, Trelleborg,42.5
1290, Kristianstad,42.1
1291, Simrishamn,49.4
1292, Ängelholm,43.7
1293, Hässleholm,43.4
1315, Hylte,42.2
1380, Halmstad,41.4
1381, Laholm,44.0
1382, Falkenberg,43.4
1383, Varberg,43.3
1384, Kungsbacka,41.2
1401, Härryda,39.3
1402, Partille,39.6
1407, Öckerö,44.7
1415, Stenungsund,41.3
1419, Tjörn,45.7
1421, Orust,47.5
1427, Sotenäs,49.4
1430, Munkedal,43.8
1435, Tanum,46.3
1438, Dals-Ed,45.0
1439, Färgelanda,44.5
1440, Ale,39.4
1441, Lerum,39.6
