,,,,,,
,,,,,,
,2019,,,,,
0114 Upplands Väsby,39.3,,,,,
Total,,,,,,
0115 Vallentuna,39.0,,,,,
Total,,,,,,
0117 Österåker,40.6,,,,,
Total,,,,,,
0120 Värmdö,39.9,,,,,
Total,,,,,,
0123 Järfälla,39.1,,,,,
Total,,,,,,
0125 Ekerö,39.8,,,,,
Total,,,,,,
0126 Huddinge,37.6,,,,,
Total,,,,,,
0127 Botkyrka,37.7,,,,,
Total,,,,,,
0128 Salem,39.2,,,,,
Total,,,,,,
0136 Haninge,38.2,,,,,
Total,,,,,,
0138 Tyresö,39.8,,,,,
Total,,,,,,
0139 Upplands-Bro,38.2,,,,,
Total,,,,,,
0140 Nykvarn,39.5,,,,,
Total,,,,,,
0160 Täby,40.9,,,,,
Total,,,,,,
0162 Danderyd,41.3,,,,,
Total,,,,,,
0163 Sollentuna,39.1,,,,,
Total,,,,,,
0180 Stockholm,39.2,,,,,
Total,,,,,,
0181 Södertälje,39.4,,,,,
Total,,,,,,
0182 Nacka,39.1,,,,,
Total,,,,,,
0183 Sundbyberg,37.5,,,,,
Total,,,,,,
0184 Solna,39.2,,,,,
Total,,,,,,
0186 Lidingö,41.4,,,,,
Total,,,,,,
0187 Vaxholm,42.1,,,,,
Total,,,,,,
0188 Norrtälje,45.4,,,,,
Total,,,,,,
0191 Sigtuna,38.1,,,,,
Total,,,,,,
0192 Nynäshamn,42.7,,,,,
Total,,,,,,
0305 Håbo,39.9,,,,,
Total,,,,,,
0319 Älvkarleby,43.9,,,,,
Total,,,,,,
0330 Knivsta,36.7,,,,,
Total,,,,,,
0331 Heby,43.9,,,,,
Total,,,,,,
0360 Tierp,43.5,,,,,
Total,,,,,,
0380 Uppsala,38.9,,,,,
Total,,,,,,
0381 Enköping,41.6,,,,,
Total,,,,,,
0382 Östhammar,45.3,,,,,
Total,,,,,,
0428 Vingåker,44.4,,,,,
Total,,,,,,
0461 Gnesta,42.8,,,,,
Total,,,,,,
0480 Nyköping,43.1,,,,,
Total,,,,,,
0481 Oxelösund,45.2,,,,,
Total,,,,,,
0482 Flen,45.1,,,,,
Total,,,,,,
0483 Katrineholm,42.3,,,,,
Total,,,,,,
0484 Eskilstuna,40.8,,,,,
Total,,,,,,
0486 Strängnäs,42.6,,,,,
Total,,,,,,
0488 Trosa,43.4,,,,,
Total,,,,,,
0509 Ödeshög,45.1,,,,,
Total,,,,,,
0512 Ydre,46.8,,,,,
Total,,,,,,
0513 Kinda,45.1,,,,,
Total,,,,,,
0560 Boxholm,45.1,,,,,
Total,,,,,,
0561 Åtvidaberg,45.0,,,,,
Total,,,,,,
0562 Finspång,43.9,,,,,
Total,,,,,,
0563 Valdemarsvik,47.5,,,,,
Total,,,,,,
0580 Linköping,39.4,,,,,
Total,,,,,,
0581 Norrköping,40.7,,,,,
Total,,,,,,
0582 Söderköping,43.9,,,,,
Total,,,,,,
0583 Motala,43.3,,,,,
Total,,,,,,
0584 Vadstena,48.4,,,,,
Total,,,,,,
0586 Mjölby,41.9,,,,,
Total,,,,,,
0604 Aneby,42.5,,,,,
Total,,,,,,
0617 Gnosjö,41.7,,,,,
Total,,,,,,
0642 Mullsjö,42.8,,,,,
Total,,,,,,
0643 Habo,38.4,,,,,
Total,,,,,,
0662 Gislaved,41.8,,,,,
Total,,,,,,
